Unnamed: 0,age,Gender,Department,employment status,Years of experience,Work environment,Do you often feel overwhelmed by your workload?,Is your workload generally manageable?,Do you frequently work beyond your scheduled hours?,Do you feel supported by your manager and team?,Are you satisfied with the resources and help available at work?,Do you often feel isolated when dealing with work challenges?,Do you frequently think about work in your personal time?,Do you feel you have a healthy work-life balance?,Does your work often interfere with personal or family time?,Do you regularly feel physically or emotionally exhausted?,"Do you experience symptoms like sleep issues, anxiety, or low mood?",Do you regularly engage in physical or leisure activities?,How do you feel?
1506,under 20,female,Other,full-time,1-5,hybrid,5,5,4,5,3,3,4,1,1,3,3,5,Mildly Stressed
1507,21-30,female,Other,part-time,11-15,remote,3,3,1,1,1,5,2,3,4,3,5,2,Highly Stressed
1508,under 20,female,Other,part-time,1-5,remote,1,4,2,3,5,4,3,1,1,2,3,1,Healthy
1509,21-30,male,Software development,contract,6-10,remote,5,3,1,1,5,1,2,2,4,2,2,4,Healthy
1510,31-40,male,Hardware engineering,part-time,less than 1 year,remote,5,2,2,5,2,5,2,1,2,1,3,3,Mildly Stressed
1511,21-30,male,IT Services,part-time,6-10,Office-based,5,2,2,1,3,1,4,4,3,4,4,5,Mildly Stressed
1512,21-30,male,Software development,full-time,16-20,remote,5,3,1,3,3,3,3,4,2,5,5,1,Mildly Stressed
1513,51-60,male,Cyber Security,full-time,less than 1 year,Office-based,1,4,2,1,2,2,5,2,2,1,3,1,Mildly Stressed
1514,41-50,male,Hardware engineering,contract,6-10,remote,4,5,3,3,2,1,2,1,2,3,3,1,Mildly Stressed
1515,41-50,female,Hardware engineering,full-time,16-20,remote,2,2,1,1,1,5,1,3,2,3,5,5,Mildly Stressed
1516,31-40,female,Cyber Security,full-time,6-10,hybrid,5,2,3,1,3,4,5,2,5,4,1,2,Burned Out
1517,31-40,male,Cyber Security,contract,16-20,Office-based,2,4,1,3,5,4,2,4,1,1,2,3,Healthy
1518,41-50,male,Cyber Security,part-time,16-20,hybrid,2,2,2,1,2,4,5,2,3,5,2,2,Highly Stressed
1519,51-60,female,IT Services,contract,less than 1 year,remote,5,2,2,2,1,4,1,1,3,1,3,4,Mildly Stressed
1520,41-50,female,Other,full-time,1-5,Office-based,4,4,4,4,5,1,5,1,2,1,5,3,Mildly Stressed
1521,51-60,female,Hardware engineering,contract,16-20,remote,2,3,4,2,3,4,5,1,3,4,4,2,Highly Stressed
1522,31-40,male,Other,part-time,16-20,hybrid,3,5,3,4,2,2,1,5,4,5,3,4,Healthy
1523,under 20,male,Other,contract,less than 1 year,Office-based,2,5,2,2,2,3,1,1,3,3,2,3,Healthy
1524,31-40,male,Cyber Security,full-time,1-5,hybrid,5,2,4,4,1,1,1,4,2,2,3,5,Healthy
1525,31-40,female,IT Services,full-time,11-15,remote,1,5,2,1,1,1,4,4,3,5,5,4,Mildly Stressed
1526,21-30,female,Software development,contract,11-15,remote,2,3,1,3,3,4,1,5,1,3,4,2,Healthy
1527,21-30,male,IT Services,part-time,1-5,remote,4,2,4,3,2,4,5,4,2,4,1,3,Mildly Stressed
1528,21-30,male,Other,contract,6-10,Office-based,3,5,3,5,1,1,1,4,5,5,4,4,Healthy
1529,21-30,female,IT Services,part-time,less than 1 year,hybrid,3,1,4,4,2,4,2,2,1,5,3,4,Mildly Stressed
1530,51-60,female,Cyber Security,part-time,1-5,hybrid,1,1,2,5,3,4,1,1,3,3,2,5,Healthy
1531,41-50,female,Software development,contract,11-15,remote,1,1,5,5,2,4,1,2,5,3,5,4,Highly Stressed
1532,under 20,female,Cyber Security,part-time,16-20,hybrid,2,1,5,4,5,4,3,2,1,1,3,3,Mildly Stressed
1533,31-40,male,Software development,full-time,11-15,Office-based,5,1,2,3,2,4,5,4,4,1,1,1,Mildly Stressed
1534,51-60,female,Other,contract,16-20,remote,4,2,1,4,4,5,5,3,1,5,5,3,Highly Stressed
1535,under 20,female,Software development,part-time,less than 1 year,remote,3,4,4,1,4,5,2,1,5,2,5,3,Highly Stressed
1536,51-60,female,Software development,full-time,16-20,remote,1,4,5,5,3,5,4,3,4,4,5,5,Mildly Stressed
1537,51-60,male,Software development,contract,1-5,Office-based,4,2,1,5,3,1,3,4,3,3,3,5,Healthy
1538,31-40,male,IT Services,full-time,16-20,remote,5,2,2,4,3,3,2,5,2,1,1,4,Healthy
1539,41-50,female,IT Services,full-time,6-10,remote,3,3,1,5,5,1,2,2,3,4,3,5,Healthy
1540,21-30,female,Other,full-time,1-5,remote,3,4,2,3,5,5,5,4,2,5,5,4,Mildly Stressed
1541,41-50,female,Software development,part-time,less than 1 year,remote,5,1,4,5,2,1,3,4,2,3,5,1,Highly Stressed
1542,31-40,male,Hardware engineering,contract,1-5,hybrid,3,2,1,4,1,3,5,3,5,3,2,2,Highly Stressed
1543,31-40,male,Other,contract,6-10,remote,5,1,4,3,4,4,4,5,4,1,4,5,Mildly Stressed
1544,31-40,male,Software development,part-time,less than 1 year,Office-based,3,4,1,3,4,2,5,2,4,2,3,5,Healthy
1545,under 20,female,Software development,contract,11-15,remote,2,5,2,5,4,5,1,5,1,3,1,1,Healthy
1546,41-50,male,IT Services,full-time,6-10,remote,5,5,2,4,2,5,5,5,3,2,5,5,Mildly Stressed
1547,41-50,female,Other,contract,less than 1 year,hybrid,4,2,1,5,2,3,1,5,5,4,3,1,Mildly Stressed
1548,51-60,female,Software development,part-time,16-20,remote,2,3,2,1,3,4,2,1,3,3,4,4,Mildly Stressed
1549,51-60,female,Software development,full-time,1-5,hybrid,4,1,3,1,1,4,4,5,1,3,3,5,Mildly Stressed
1550,51-60,male,Other,part-time,less than 1 year,Office-based,3,2,3,3,3,2,1,4,1,2,4,5,Healthy
1551,31-40,female,Hardware engineering,full-time,1-5,hybrid,4,3,4,5,2,4,4,1,5,1,3,4,Mildly Stressed
1552,41-50,male,Other,full-time,16-20,remote,2,1,3,1,5,3,5,1,1,5,2,5,Mildly Stressed
1553,31-40,male,Other,contract,less than 1 year,Office-based,5,4,3,2,3,4,5,5,5,4,3,3,Highly Stressed
1554,under 20,female,Hardware engineering,full-time,11-15,remote,1,5,5,1,2,3,2,4,1,3,2,1,Mildly Stressed
1555,51-60,female,Other,part-time,6-10,hybrid,4,3,5,5,2,5,5,2,4,1,4,2,Highly Stressed
1556,31-40,male,Software development,contract,less than 1 year,Office-based,1,1,5,5,5,5,1,5,5,3,5,3,Mildly Stressed
1557,31-40,female,Other,part-time,16-20,Office-based,4,2,5,1,5,5,2,1,4,4,5,2,Burned Out
1558,under 20,male,Hardware engineering,full-time,less than 1 year,hybrid,4,1,2,5,5,1,4,2,4,5,3,3,Mildly Stressed
1559,21-30,female,Cyber Security,part-time,1-5,hybrid,5,2,4,5,1,5,2,2,5,3,1,3,Highly Stressed
1560,41-50,male,Other,part-time,less than 1 year,Office-based,3,5,4,2,2,3,4,1,3,2,3,3,Mildly Stressed
1561,21-30,male,IT Services,full-time,11-15,Office-based,2,5,3,3,5,2,3,2,2,1,2,1,Healthy
1562,51-60,male,Software development,contract,less than 1 year,hybrid,2,1,4,5,1,4,1,4,1,5,2,2,Mildly Stressed
1563,31-40,male,Software development,part-time,6-10,remote,2,1,3,4,4,5,1,4,1,3,4,4,Healthy
1564,under 20,female,IT Services,full-time,less than 1 year,Office-based,3,2,4,3,4,1,4,5,3,5,3,4,Mildly Stressed
1565,under 20,female,IT Services,contract,1-5,hybrid,1,2,1,3,4,1,5,5,2,2,4,5,Healthy
1566,41-50,male,Other,contract,less than 1 year,remote,2,3,1,4,2,3,5,2,3,3,1,1,Mildly Stressed
1567,21-30,male,IT Services,contract,11-15,Office-based,1,3,4,1,1,2,3,1,2,5,5,1,Highly Stressed
1568,41-50,female,Cyber Security,part-time,16-20,Office-based,3,3,2,2,1,5,4,4,5,3,5,1,Highly Stressed
1569,31-40,female,Hardware engineering,part-time,less than 1 year,hybrid,3,1,3,5,4,5,3,3,5,3,3,3,Mildly Stressed
1570,41-50,female,IT Services,part-time,less than 1 year,remote,5,3,4,1,3,1,4,5,4,5,4,1,Highly Stressed
1571,under 20,female,IT Services,contract,6-10,Office-based,2,1,3,4,4,3,3,4,4,3,4,4,Mildly Stressed
1572,under 20,female,Cyber Security,part-time,11-15,remote,5,5,5,2,2,1,4,2,5,2,1,1,Highly Stressed
1573,51-60,female,Software development,full-time,16-20,remote,2,4,4,2,4,1,1,4,4,5,4,3,Healthy
1574,51-60,male,Software development,part-time,1-5,Office-based,3,5,2,2,4,2,3,4,5,5,2,2,Mildly Stressed
1575,31-40,female,Other,part-time,less than 1 year,remote,3,1,5,4,1,3,3,2,3,2,2,1,Highly Stressed
1576,21-30,female,Cyber Security,contract,16-20,Office-based,4,1,4,1,4,2,4,5,1,2,2,2,Mildly Stressed
1577,41-50,male,Hardware engineering,part-time,1-5,remote,4,4,1,5,5,3,2,5,5,2,3,5,Healthy
1578,31-40,female,Hardware engineering,full-time,11-15,Office-based,3,2,4,2,5,5,2,3,5,3,2,3,Mildly Stressed
1579,51-60,female,Cyber Security,contract,11-15,hybrid,3,2,1,2,3,4,1,3,5,3,2,1,Mildly Stressed
1580,41-50,female,Hardware engineering,full-time,16-20,Office-based,1,2,1,1,2,4,5,5,4,4,5,5,Highly Stressed
1581,51-60,female,Software development,contract,1-5,Office-based,1,3,4,2,2,3,5,5,4,3,3,5,Mildly Stressed
1582,41-50,female,Hardware engineering,contract,11-15,Office-based,5,2,4,2,1,4,1,5,4,2,2,2,Mildly Stressed
1583,21-30,male,Hardware engineering,part-time,16-20,remote,4,3,1,4,2,1,5,5,4,4,1,4,Healthy
1584,31-40,female,Cyber Security,full-time,11-15,hybrid,4,3,3,3,3,5,4,4,3,2,2,4,Mildly Stressed
1585,41-50,male,Cyber Security,contract,11-15,remote,3,2,5,1,5,5,2,3,5,1,3,4,Mildly Stressed
1586,under 20,male,Hardware engineering,part-time,11-15,remote,3,2,2,1,1,4,1,2,3,5,4,4,Highly Stressed
1587,under 20,female,IT Services,contract,6-10,Office-based,5,4,4,1,5,3,4,1,4,1,5,3,Highly Stressed
1588,41-50,male,Cyber Security,contract,1-5,remote,4,4,5,4,3,1,1,2,3,2,5,1,Mildly Stressed
1589,41-50,female,Other,contract,16-20,Office-based,1,3,5,4,1,3,2,1,5,3,3,1,Highly Stressed
1590,41-50,male,Other,contract,16-20,hybrid,2,4,3,5,4,4,5,4,5,5,2,3,Mildly Stressed
1591,under 20,male,Software development,contract,1-5,remote,5,3,5,4,2,5,4,3,4,3,1,2,Highly Stressed
1592,under 20,female,Hardware engineering,contract,1-5,remote,2,1,4,1,3,5,2,1,5,3,2,1,Burned out
1593,41-50,female,IT Services,part-time,1-5,remote,1,3,5,5,1,3,1,5,3,5,2,5,Healthy
1594,51-60,female,Software development,contract,1-5,Office-based,1,3,4,3,5,2,3,4,2,5,1,1,Healthy
1595,51-60,female,Hardware engineering,full-time,less than 1 year,Office-based,2,4,4,2,1,3,4,1,5,1,5,3,Highly Stressed
1596,21-30,female,Cyber Security,part-time,16-20,remote,5,1,1,2,4,2,1,5,3,2,2,2,Healthy
1597,31-40,male,Other,full-time,less than 1 year,remote,2,5,3,5,3,3,1,4,3,3,4,1,Healthy
1598,51-60,male,IT Services,contract,11-15,hybrid,5,5,2,3,1,2,2,1,3,2,4,3,Mildly Stressed
1599,under 20,male,Other,full-time,11-15,hybrid,5,5,1,2,3,2,1,5,5,2,3,5,Healthy
1600,51-60,male,Cyber Security,contract,16-20,hybrid,3,1,2,5,3,2,4,3,2,4,3,4,Healthy
1601,21-30,male,Hardware engineering,contract,11-15,hybrid,4,2,4,4,5,2,4,4,4,1,1,5,Healthy
1602,21-30,male,Cyber Security,part-time,1-5,hybrid,4,1,1,1,2,1,1,1,4,3,1,5,Mildly Stressed
1603,31-40,male,Cyber Security,part-time,less than 1 year,Office-based,1,4,5,3,4,2,2,5,5,5,3,2,Mildly Stressed
1604,51-60,female,Other,contract,1-5,hybrid,3,3,5,2,1,2,4,3,5,5,2,1,Highly Stressed
1605,under 20,female,IT Services,part-time,11-15,hybrid,4,3,2,1,2,5,3,5,1,2,5,4,Mildly Stressed
1606,under 20,male,Cyber Security,full-time,less than 1 year,remote,5,4,4,5,5,1,5,3,2,1,4,3,Healthy
1607,41-50,male,Other,part-time,1-5,Office-based,5,4,2,2,2,2,2,1,3,1,1,4,Healthy
1608,under 20,female,IT Services,part-time,16-20,hybrid,2,3,3,1,3,4,2,5,3,3,3,1,Mildly Stressed
1609,31-40,female,Hardware engineering,full-time,1-5,hybrid,2,2,5,4,3,1,5,5,4,3,4,2,Mildly Stressed
1610,31-40,female,Hardware engineering,part-time,11-15,hybrid,5,2,1,3,4,5,5,2,5,2,1,1,Highly Stressed
1611,under 20,female,Software development,contract,less than 1 year,remote,5,2,1,5,1,3,4,4,2,2,1,3,Healthy
1612,under 20,male,Other,full-time,16-20,remote,2,4,1,2,1,5,1,5,4,2,2,4,Healthy
1613,41-50,female,IT Services,contract,less than 1 year,remote,4,3,5,4,5,5,1,3,2,4,1,5,Healthy
1614,under 20,male,Cyber Security,full-time,16-20,hybrid,1,3,4,3,4,1,3,4,5,1,5,1,Mildly Stressed
1615,41-50,male,Hardware engineering,contract,less than 1 year,remote,2,3,5,3,1,1,1,1,3,2,1,2,Mildly Stressed
1616,41-50,male,IT Services,contract,11-15,hybrid,4,1,5,4,3,4,3,4,1,1,5,2,Mildly Stressed
1617,under 20,female,Other,part-time,16-20,Office-based,4,1,1,2,4,4,3,2,2,5,2,4,Mildly Stressed
1618,21-30,female,Software development,contract,6-10,hybrid,4,5,5,3,2,1,2,1,3,5,5,5,Highly Stressed
1619,21-30,male,Hardware engineering,part-time,less than 1 year,remote,3,1,1,5,4,1,2,5,2,1,4,3,Healthy
1620,41-50,male,IT Services,full-time,less than 1 year,Office-based,3,2,4,1,4,1,4,1,2,5,1,5,Mildly Stressed
1621,under 20,male,IT Services,contract,1-5,hybrid,4,2,3,5,1,3,5,1,2,5,3,4,Highly Stressed
1622,21-30,female,IT Services,contract,16-20,Office-based,5,2,1,3,5,5,5,2,5,5,3,5,Highly Stressed
1623,under 20,male,Other,full-time,6-10,Office-based,3,2,2,1,5,4,3,3,4,3,5,4,Mildly Stressed
1624,under 20,female,Other,full-time,11-15,Office-based,2,5,3,4,1,4,5,1,2,3,2,5,Mildly Stressed
1625,under 20,male,Other,contract,1-5,hybrid,3,2,4,1,1,2,3,3,5,1,5,1,Highly Stressed
1626,51-60,male,Cyber Security,full-time,6-10,remote,5,4,3,1,1,3,5,4,1,1,5,2,Highly Stressed
1627,under 20,male,IT Services,part-time,16-20,hybrid,1,4,1,1,5,1,4,2,4,4,5,4,Mildly Stressed
1628,51-60,female,Hardware engineering,full-time,6-10,remote,3,4,4,3,1,1,2,5,5,3,4,4,Mildly Stressed
1629,41-50,female,Other,full-time,less than 1 year,hybrid,4,1,2,2,2,3,2,1,1,1,4,2,Mildly Stressed
1630,21-30,male,Other,contract,less than 1 year,hybrid,4,3,1,3,2,4,3,3,4,3,5,3,Mildly Stressed
1631,21-30,female,IT Services,part-time,1-5,hybrid,4,5,1,2,3,1,5,1,5,4,2,4,Mildly Stressed
1632,21-30,male,Other,full-time,16-20,remote,1,4,4,4,2,2,1,2,1,1,1,1,Healthy
1633,21-30,female,Cyber Security,part-time,16-20,hybrid,5,4,4,4,4,4,4,5,5,1,3,5,Mildly Stressed
1634,21-30,female,Cyber Security,part-time,6-10,Office-based,2,2,3,4,3,5,5,4,1,1,4,1,Mildly Stressed
1635,21-30,female,Other,part-time,1-5,hybrid,5,4,2,4,2,3,1,4,2,1,1,4,Healthy
1636,21-30,male,IT Services,contract,16-20,Office-based,1,2,3,4,4,4,4,3,2,2,4,3,Mildly Stressed
1637,41-50,female,IT Services,full-time,less than 1 year,remote,4,2,3,5,2,5,4,4,4,3,4,4,Highly Stressed
1638,under 20,female,IT Services,contract,6-10,remote,5,3,1,3,4,2,2,3,1,3,4,3,Healthy
1639,31-40,male,Software development,full-time,11-15,hybrid,2,1,4,2,1,3,3,5,2,3,5,2,Highly Stressed
1640,51-60,male,Other,full-time,less than 1 year,hybrid,4,2,1,4,4,1,5,1,4,4,5,5,Mildly Stressed
1641,31-40,male,IT Services,contract,1-5,hybrid,2,2,2,5,1,1,4,2,3,2,4,1,Mildly Stressed
1642,31-40,male,Cyber Security,part-time,16-20,Office-based,3,3,3,5,4,5,5,5,2,3,4,3,Mildly Stressed
1643,under 20,female,Hardware engineering,part-time,less than 1 year,remote,2,2,2,5,4,4,4,5,2,3,3,1,Healthy
1644,under 20,female,Hardware engineering,full-time,11-15,Office-based,4,5,4,3,2,2,2,4,5,1,1,2,Healthy
1645,under 20,female,IT Services,contract,11-15,Office-based,3,1,4,4,4,5,3,4,3,1,1,4,Healthy
1646,21-30,female,Hardware engineering,part-time,1-5,hybrid,4,5,5,5,2,2,1,2,1,1,2,3,Healthy
1647,41-50,female,Hardware engineering,part-time,less than 1 year,hybrid,4,4,2,5,4,2,1,1,4,3,2,5,Healthy
1648,21-30,male,Software development,full-time,6-10,Office-based,3,1,1,4,5,2,2,5,3,1,2,3,Healthy
1649,41-50,female,Cyber Security,full-time,less than 1 year,Office-based,2,4,2,3,3,3,4,4,1,3,5,4,Healthy
1650,41-50,female,Cyber Security,contract,11-15,hybrid,1,2,3,5,2,5,2,5,2,4,5,4,Mildly Stressed
1651,31-40,female,Software development,full-time,1-5,hybrid,1,3,4,2,2,3,3,1,4,4,3,5,Mildly Stressed
1652,31-40,male,Software development,part-time,1-5,Office-based,1,5,4,1,1,4,1,3,4,5,5,5,Mildly Stressed
1653,41-50,male,Hardware engineering,part-time,6-10,hybrid,1,4,2,1,5,4,5,1,3,2,2,2,Mildly Stressed
1654,41-50,female,Other,part-time,1-5,hybrid,5,2,2,1,1,1,1,5,5,1,4,1,Highly Stressed
1655,21-30,male,Hardware engineering,part-time,1-5,Office-based,1,5,2,3,5,1,3,5,1,1,2,3,Healthy
1656,21-30,male,Software development,contract,1-5,Office-based,3,5,3,5,5,1,4,2,3,2,3,2,Healthy
1657,31-40,male,Cyber Security,contract,1-5,remote,1,4,3,1,4,4,2,5,5,2,4,1,Mildly Stressed
1658,under 20,male,Hardware engineering,full-time,1-5,Office-based,4,2,1,1,1,2,1,4,5,5,5,2,Highly Stressed
1659,41-50,male,Other,full-time,11-15,hybrid,1,3,2,4,3,2,1,2,5,2,4,5,Healthy
1660,21-30,male,Hardware engineering,full-time,less than 1 year,Office-based,2,4,1,5,5,5,5,5,4,3,3,5,Healthy
1661,31-40,male,IT Services,contract,16-20,Office-based,3,5,5,5,5,4,2,1,1,1,5,4,Healthy
1662,21-30,female,Hardware engineering,part-time,1-5,Office-based,3,5,3,4,2,1,5,5,1,2,1,3,Healthy
1663,41-50,female,Software development,full-time,16-20,remote,5,1,4,5,4,4,5,1,3,3,2,3,Highly Stressed
1664,41-50,male,Cyber Security,part-time,16-20,remote,4,2,5,2,3,2,4,1,2,2,2,3,Highly Stressed
1665,51-60,female,Cyber Security,full-time,11-15,hybrid,3,1,4,3,5,2,1,5,3,3,3,2,Healthy
1666,under 20,female,Software development,full-time,1-5,remote,2,3,5,4,2,3,2,1,1,4,3,2,Mildly Stressed
1667,51-60,male,IT Services,full-time,16-20,Office-based,1,4,1,1,1,3,4,3,4,3,2,3,Mildly Stressed
1668,31-40,female,Software development,full-time,1-5,remote,3,5,1,5,5,5,4,2,3,5,4,4,Healthy
1669,21-30,male,Hardware engineering,full-time,6-10,Office-based,2,2,3,2,2,4,4,5,2,3,1,1,Mildly Stressed
1670,31-40,male,Software development,part-time,6-10,remote,1,5,4,2,1,3,3,3,3,2,1,2,Mildly Stressed
1671,41-50,male,Software development,full-time,6-10,remote,5,1,5,3,4,3,3,1,5,4,3,3,Burned out
1672,51-60,female,IT Services,part-time,16-20,remote,3,1,2,2,1,4,4,1,2,4,3,5,Highly Stressed
1673,51-60,female,Hardware engineering,contract,6-10,Office-based,3,4,2,5,5,2,3,2,5,3,4,2,Healthy
1674,51-60,female,Other,full-time,11-15,remote,2,2,3,5,3,5,2,3,4,2,3,1,Mildly Stressed
1675,31-40,female,Other,part-time,11-15,Office-based,4,2,4,2,1,5,1,3,1,4,1,2,Highly Stressed
1676,41-50,male,Cyber Security,contract,16-20,Office-based,5,4,2,5,3,5,2,5,3,3,2,1,Healthy
1677,21-30,male,Software development,contract,1-5,hybrid,4,1,3,5,3,3,1,1,3,3,1,1,Mildly Stressed
1678,21-30,female,Cyber Security,contract,less than 1 year,remote,3,1,3,1,1,2,3,4,5,3,4,2,Highly Stressed
1679,31-40,male,IT Services,part-time,1-5,hybrid,4,1,4,4,4,5,2,5,5,4,2,1,Highly Stressed
1680,51-60,male,Other,full-time,1-5,hybrid,1,5,2,5,1,4,5,5,1,1,2,2,Healthy
1681,under 20,female,Software development,full-time,1-5,Office-based,5,3,2,5,2,5,4,5,3,2,1,2,Mildly Stressed
1682,31-40,male,IT Services,part-time,1-5,remote,4,1,2,3,3,1,1,2,1,5,2,4,Mildly Stressed
1683,31-40,female,IT Services,full-time,less than 1 year,Office-based,1,3,1,4,5,2,1,2,5,5,2,5,Healthy
1684,41-50,male,Software development,part-time,6-10,Office-based,2,3,2,4,3,1,5,5,5,2,3,1,Mildly Stressed
1685,21-30,female,IT Services,full-time,1-5,remote,4,2,5,4,5,2,5,4,2,1,2,2,Mildly Stressed
1686,31-40,male,Software development,contract,11-15,Office-based,5,4,1,2,2,4,4,3,5,2,4,1,Highly Stressed
1687,31-40,male,Software development,full-time,16-20,remote,1,5,1,1,2,3,3,3,5,3,2,2,Mildly Stressed
1688,51-60,female,Hardware engineering,part-time,16-20,remote,4,3,1,1,2,3,2,1,1,2,3,2,Mildly Stressed
1689,51-60,female,Cyber Security,part-time,11-15,Office-based,2,5,1,3,1,2,2,3,2,2,5,2,Healthy
1690,under 20,female,IT Services,contract,1-5,Office-based,4,2,3,4,3,5,2,3,2,4,5,5,Mildly Stressed
1691,41-50,female,IT Services,part-time,less than 1 year,hybrid,1,1,5,4,5,1,3,4,3,5,4,1,Mildly Stressed
1692,under 20,male,Hardware engineering,full-time,6-10,Office-based,4,3,4,5,2,4,4,3,4,5,4,5,Highly Stressed
1693,51-60,male,Hardware engineering,full-time,16-20,remote,5,4,2,2,2,5,2,4,3,3,2,5,Mildly Stressed
1694,21-30,female,Hardware engineering,contract,6-10,hybrid,3,2,1,2,5,3,1,2,3,3,2,5,Healthy
1695,51-60,male,Other,part-time,less than 1 year,remote,1,5,4,3,3,5,1,4,3,4,5,5,Healthy
1696,41-50,female,Other,contract,16-20,hybrid,1,1,3,1,3,1,1,2,2,3,5,4,Mildly Stressed
1697,51-60,female,Other,full-time,6-10,Office-based,1,5,4,4,5,3,5,4,1,1,1,1,Healthy
1698,41-50,male,Software development,contract,less than 1 year,Office-based,1,4,1,3,4,2,5,5,5,4,5,1,Mildly Stressed
1699,41-50,male,IT Services,part-time,6-10,Office-based,4,3,5,2,3,4,3,2,2,4,5,2,Highly Stressed
1700,41-50,female,Cyber Security,contract,1-5,remote,5,4,4,2,5,4,2,2,5,2,4,1,Highly Stressed
1701,41-50,female,Software development,part-time,less than 1 year,hybrid,2,5,1,2,5,3,5,3,5,2,1,5,Healthy
1702,41-50,female,IT Services,part-time,6-10,remote,5,5,1,4,2,2,1,2,4,1,1,3,Healthy
1703,21-30,male,IT Services,full-time,1-5,hybrid,1,4,2,4,5,1,5,4,3,4,2,1,Healthy
1704,under 20,male,Hardware engineering,full-time,1-5,Office-based,4,4,2,4,1,4,1,5,4,4,2,3,Mildly Stressed
1705,31-40,male,Hardware engineering,full-time,less than 1 year,remote,4,4,5,5,2,3,2,5,3,2,1,4,Healthy
1706,under 20,male,Software development,part-time,11-15,Office-based,1,1,2,1,2,4,3,3,2,5,1,2,Highly Stressed
1707,41-50,female,Hardware engineering,contract,16-20,remote,4,5,5,2,3,2,4,4,5,5,2,2,Highly Stressed
1708,21-30,female,IT Services,part-time,less than 1 year,Office-based,1,2,3,2,4,1,4,4,4,2,4,2,Mildly Stressed
1709,51-60,female,Hardware engineering,full-time,1-5,remote,5,1,3,5,3,2,1,1,2,3,4,4,Mildly Stressed
1710,21-30,female,Other,full-time,1-5,remote,3,1,2,2,1,5,5,2,2,4,4,5,Highly Stressed
1711,41-50,female,Hardware engineering,contract,less than 1 year,hybrid,4,1,3,2,2,2,5,3,3,1,4,3,Highly Stressed
1712,21-30,female,IT Services,full-time,11-15,Office-based,1,2,4,4,2,2,1,5,5,5,2,1,Mildly Stressed
1713,21-30,male,Software development,full-time,16-20,hybrid,1,4,4,4,5,4,2,1,3,3,3,5,Healthy
1714,41-50,male,Cyber Security,full-time,6-10,hybrid,4,5,4,1,4,2,1,4,3,4,5,2,Mildly Stressed
1715,21-30,female,Hardware engineering,contract,less than 1 year,Office-based,2,3,3,2,4,3,2,2,2,3,5,2,Mildly Stressed
1716,31-40,female,IT Services,part-time,16-20,remote,1,3,4,3,5,4,3,5,3,4,5,5,Healthy
1717,31-40,male,Cyber Security,full-time,16-20,hybrid,4,5,5,2,1,4,3,1,1,4,5,3,Highly Stressed
1718,21-30,male,Cyber Security,contract,1-5,Office-based,1,2,1,2,4,5,1,4,5,2,2,5,Healthy
1719,51-60,male,Other,full-time,6-10,remote,2,3,2,1,2,3,3,5,3,2,3,4,Healthy
1720,41-50,male,Cyber Security,contract,less than 1 year,hybrid,3,1,5,3,1,2,5,5,3,1,2,2,Mildly Stressed
1721,31-40,female,IT Services,full-time,1-5,hybrid,2,3,4,2,3,5,2,4,4,1,3,3,Mildly Stressed
1722,51-60,female,IT Services,contract,1-5,hybrid,5,5,1,3,3,3,4,4,5,3,2,1,Mildly Stressed
1723,21-30,female,Hardware engineering,full-time,11-15,remote,4,1,2,4,1,5,4,3,5,2,1,2,Highly Stressed
1724,51-60,female,Hardware engineering,part-time,16-20,hybrid,2,3,5,4,2,1,3,5,3,4,3,5,Healthy
1725,under 20,female,Hardware engineering,full-time,less than 1 year,remote,3,5,2,3,3,2,2,4,1,2,5,3,Healthy
1726,31-40,male,Cyber Security,contract,less than 1 year,hybrid,1,2,3,2,2,5,5,1,4,4,3,2,Highly Stressed
1727,21-30,female,Cyber Security,full-time,less than 1 year,Office-based,4,5,4,3,5,1,4,2,1,2,4,1,Mildly Stressed
1728,41-50,male,Other,part-time,1-5,hybrid,2,2,5,3,4,2,5,3,3,4,3,1,Mildly Stressed
1729,21-30,female,Hardware engineering,full-time,11-15,Office-based,3,1,5,4,1,5,5,4,5,3,4,5,Highly Stressed
1730,41-50,female,Software development,contract,6-10,Office-based,2,5,1,3,4,5,4,2,5,2,4,4,Mildly Stressed
1731,21-30,female,Other,contract,1-5,Office-based,5,4,1,5,5,5,4,3,1,5,1,5,Healthy
1732,51-60,female,Software development,part-time,6-10,remote,4,4,1,5,3,5,3,5,2,5,3,3,Healthy
1733,51-60,female,Cyber Security,contract,11-15,Office-based,1,4,2,4,2,4,2,2,3,4,1,5,Healthy
1734,51-60,male,Other,full-time,16-20,hybrid,3,4,4,2,2,5,1,3,5,3,5,3,Highly Stressed
1735,under 20,male,Other,full-time,less than 1 year,remote,2,4,2,2,5,4,2,4,2,4,3,4,Healthy
1736,41-50,male,IT Services,full-time,6-10,Office-based,4,2,4,4,1,4,1,4,5,3,2,5,Mildly Stressed
1737,51-60,female,Cyber Security,contract,1-5,remote,2,5,5,2,4,1,4,3,5,1,2,1,Mildly Stressed
1738,under 20,female,Cyber Security,full-time,6-10,remote,4,1,2,1,3,2,5,5,2,2,2,3,Mildly Stressed
1739,41-50,male,Other,full-time,16-20,remote,5,4,2,5,1,4,2,3,1,3,4,3,Mildly Stressed
1740,21-30,female,Cyber Security,full-time,less than 1 year,hybrid,2,4,2,1,5,3,5,1,3,4,2,1,Mildly Stressed
